battery,item_id,func,split,layers,alpha,posmode,arm,seed,good_rank,bad_rank,argmax_tok,in_top5,is_top1,beats_bad,patch_norm,top5_ids,sel_source,sel_target
h17,sport-00-output,,tuning,7-8-9,2.0,all,randdir_mirrored,0,121,1,4346,0,0,0,445.863,4346 262 284 14899 2712, football, cycling
h17,sport-00-output,,tuning,7-8-9,2.0,all,randdir_mirrored,1,1219,129,262,0,0,0,1166.2076,262 257 287 5059 25, football, surfing
h17,sport-01-lens,,heldout,7-8-9,2.0,all,lens,-1,29019,2,262,0,0,0,2562.0945,262 9669 257 284 407, basketball, rugby
h17,sport-01-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,0,17,194,262,0,0,1,842.4794,262 284 340 2712 257, basketball, rugby
h17,sport-01-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,1,215,165,262,0,0,0,1062.3519,262 257 287 326 284, basketball, rugby
h17,sport-01-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,20,3,262,0,0,0,424.6564,262 4346 9669 284 11783, basketball, rugby
h17,sport-01-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,17,44,262,0,0,1,927.6609,262 284 4346 326 12217, basketball, rugby
h17,sport-01-lens,,heldout,7-8-9,2.0,all,randdir_by_token,0,87,102,262,0,0,1,1600.5865,262 4346 9957 1444 25, basketball, rugby
h17,sport-01-lens,,heldout,7-8-9,2.0,all,randdir_by_token,1,7,2,262,0,0,0,607.2584,262 9669 284 4346 2712, basketball, rugby
h17,sport-01-lens,,heldout,7-8-9,2.0,all,randdir_mirrored,0,26,10,262,0,0,0,449.2163,262 4346 284 22948 12217, golf, cycling
h17,sport-01-lens,,heldout,7-8-9,2.0,all,randdir_mirrored,1,19,69,262,0,0,1,310.8383,262 284 4346 2491 16381, surfing, boxing
h17,sport-01-output,,heldout,7-8-9,2.0,all,lens,-1,1,1042,22948,1,1,1,1598.9656,22948 287 262 6332 257, football, rugby
h17,sport-01-output,,heldout,7-8-9,2.0,all,randdir_shared_source,0,17,2,262,0,0,0,391.378,262 4346 9669 284 2491, football, rugby
h17,sport-01-output,,heldout,7-8-9,2.0,all,randdir_shared_source,1,35,3,262,0,0,0,785.4803,262 11783 4346 284 407, football, rugby
h17,sport-01-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,14,2,262,0,0,0,884.6792,262 4346 11783 4964 25, football, rugby
h17,sport-01-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,98,4,262,0,0,0,1035.3254,262 407 284 4346 326, football, rugby
h17,sport-01-output,,heldout,7-8-9,2.0,all,randdir_by_token,0,3,1,4346,1,0,0,963.2034,4346 262 22948 41348 2491, football, rugby
h17,sport-01-output,,heldout,7-8-9,2.0,all,randdir_by_token,1,49,7,262,0,0,0,815.6836,262 25 465 257 11, football, rugby
h17,sport-01-output,,heldout,7-8-9,2.0,all,randdir_mirrored,0,17,2,262,0,0,0,739.7487,262 4346 22948 326 257, football, golf
h17,sport-01-output,,heldout,7-8-9,2.0,all,randdir_mirrored,1,834,103,262,0,0,0,1168.5184,262 257 287 284 326, football, surfing
h17,sport-02-lens,,tuning,7-8-9,2.0,all,lens,-1,50056,2,34761,0,0,0,1342.1403,34761 18836 314 6208 2011, cricket, soccer
h17,sport-02-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,1978,5041,314,0,0,1,343.845,314 17362 19709 9957 383, cricket, soccer
h17,sport-02-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,1207,3012,314,0,0,1,377.6693,314 25911 9957 17362 2011, cricket, soccer
h17,sport-02-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,442,1750,314,0,0,1,581.0827,314 9957 12771 17362 383, cricket, soccer
h17,sport-02-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,7254,7261,314,0,0,1,851.6053,314 383 25911 17362 2011, cricket, soccer
h17,sport-02-lens,,tuning,7-8-9,2.0,all,randdir_by_token,0,3737,5434,314,0,0,1,747.5627,314 19709 383 17362 9957, cricket, soccer
h17,sport-02-lens,,tuning,7-8-9,2.0,all,randdir_by_token,1,2355,5009,314,0,0,1,803.7098,314 383 17277 17362 632, cricket, soccer
h17,sport-02-lens,,tuning,7-8-9,2.0,all,randdir_mirrored,0,9486,4446,314,0,0,0,1027.3915,314 383 9957 775 357, golf, basketball
h17,sport-02-lens,,tuning,7-8-9,2.0,all,randdir_mirrored,1,11879,11028,17362,0,0,0,819.6096,17362 314 19709 383 7092, tennis, cycling
h17,sport-02-output,,tuning,7-8-9,2.0,all,lens,-1,1,47349,18836,1,1,1,1033.1444,18836 34761 20872 554 317, football, cricket
h17,sport-02-output,,tuning,7-8-9,2.0,all,randdir_shared_source,0,2386,606,314,0,0,0,1044.7333,314 383 9957 17362 17011, football, cricket
h17,sport-02-output,,tuning,7-8-9,2.0,all,randdir_shared_source,1,2399,1134,314,0,0,0,300.2114,314 17362 9957 383 15872, football, cricket
h17,sport-02-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,2786,501,314,0,0,0,524.4026,314 25911 9957 17362 383, football, cricket
h17,sport-02-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,8933,2173,314,0,0,0,887.7681,314 9957 17362 317 383, football, cricket
h17,sport-02-output,,tuning,7-8-9,2.0,all,randdir_by_token,0,1823,276,314,0,0,0,682.5628,314 17362 383 9957 19709, football, cricket
h17,sport-02-output,,tuning,7-8-9,2.0,all,randdir_by_token,1,13859,6709,314,0,0,0,1097.3152,314 383 921 317 366, football, cricket
h17,sport-02-output,,tuning,7-8-9,2.0,all,randdir_mirrored,0,2793,868,314,0,0,0,738.834,314 383 357 15872 9957, football, golf
h17,sport-02-output,,tuning,7-8-9,2.0,all,randdir_mirrored,1,10949,3389,314,0,0,0,817.5599,314 317 9957 383 25911, football, tennis
h17,sport-03-lens,,heldout,7-8-9,2.0,all,lens,-1,1,49990,18836,1,1,1,3210.1865,18836 262 34761 284 257, rugby, cricket
h17,sport-03-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,0,4,3,4346,1,0,0,600.4189,4346 262 22948 18836 14899, rugby, cricket
h17,sport-03-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,1,11,4,4346,0,0,0,643.511,4346 262 284 22948 257, rugby, cricket
h17,sport-03-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,25,14,262,0,0,0,864.0945,262 284 4346 14899 257, rugby, cricket
h17,sport-03-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,191,7,4346,0,0,0,623.3732,4346 262 257 12217 9669, rugby, cricket
h17,sport-03-lens,,heldout,7-8-9,2.0,all,randdir_by_token,0,17,3,4346,0,0,0,783.7216,4346 262 22948 14899 257, rugby, cricket
h17,sport-03-lens,,heldout,7-8-9,2.0,all,randdir_by_token,1,27,3,4346,0,0,0,566.0029,4346 2491 22948 20790 262, rugby, cricket
h17,sport-03-lens,,heldout,7-8-9,2.0,all,randdir_mirrored,0,77,76,4346,0,0,0,633.318,4346 262 12478 14899 607, cycling, wrestling
h17,sport-03-lens,,heldout,7-8-9,2.0,all,randdir_mirrored,1,685,135,4346,0,0,0,612.2239,4346 262 2491 257 14284, tennis, surfing
h17,sport-03-output,,heldout,7-8-9,2.0,all,lens,-1,1,30092,18836,1,1,1,918.6713,18836 34761 287 19553 262, football, cricket
h17,sport-03-output,,heldout,7-8-9,2.0,all,randdir_shared_source,0,17,1,4346,0,0,0,382.4273,4346 14899 20790 13126 284, football, cricket
h17,sport-03-output,,heldout,7-8-9,2.0,all,randdir_shared_source,1,49,1,4346,0,0,0,469.9269,4346 50196 262 14899 2491, football, cricket
h17,sport-03-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,15,1,4346,0,0,0,517.1378,4346 14899 50196 20790 284, football, cricket
h17,sport-03-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,66,4,262,0,0,0,885.1426,262 284 257 4346 12478, football, cricket
h17,sport-03-output,,heldout,7-8-9,2.0,all,randdir_by_token,0,20,1,4346,0,0,0,682.6465,4346 14899 50196 262 2491, football, cricket
h17,sport-03-output,,heldout,7-8-9,2.0,all,randdir_by_token,1,183,11,262,0,0,0,1093.1493,262 284 14899 407 4964, football, cricket
h17,sport-03-output,,heldout,7-8-9,2.0,all,randdir_mirrored,0,81,1,4346,0,0,0,443.4845,4346 262 284 14899 12478, football, cycling
h17,sport-03-output,,heldout,7-8-9,2.0,all,randdir_mirrored,1,596,78,257,0,0,0,1165.0188,257 262 607 287 5059, football, surfing
h17,sport-04-lens,,tuning,7-8-9,2.0,all,lens,-1,1,49957,16381,1,1,1,2812.2744,16381 34845 46825 10419 262, rugby, wrestling
h17,sport-04-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,98,24,13126,0,0,0,816.6317,13126 20790 284 4346 2712, rugby, wrestling
h17,sport-04-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,124,1,22948,0,0,0,960.5308,22948 262 4346 2491 16259, rugby, wrestling
h17,sport-04-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,73,39,262,0,0,0,629.4266,262 4346 2712 2491 16259, rugby, wrestling
h17,sport-04-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,37,22,4346,0,0,0,721.091,4346 20790 262 18836 16259, rugby, wrestling
h17,sport-04-lens,,tuning,7-8-9,2.0,all,randdir_by_token,0,20,5,4346,0,0,0,1122.9025,4346 262 257 41348 22948, rugby, wrestling
h17,sport-04-lens,,tuning,7-8-9,2.0,all,randdir_by_token,1,38,8,4346,0,0,0,943.8901,4346 262 10988 12478 257, rugby, wrestling
h17,sport-04-lens,,tuning,7-8-9,2.0,all,randdir_mirrored,0,48,69,4346,0,0,1,633.6634,4346 262 12478 19780 14899, cycling, wrestling
h17,sport-04-lens,,tuning,7-8-9,2.0,all,randdir_mirrored,1,703,126,4346,0,0,0,612.6727,4346 262 2491 257 11783, tennis, surfing
h17,sport-04-output,,tuning,7-8-9,2.0,all,lens,-1,1,48693,16381,1,1,1,1219.4227,16381 10419 46825 34845 41758, football, wrestling
h17,sport-04-output,,tuning,7-8-9,2.0,all,randdir_shared_source,0,21,1,4346,0,0,0,389.7977,4346 22948 20790 13126 14899, football, wrestling
h17,sport-04-output,,tuning,7-8-9,2.0,all,randdir_shared_source,1,42,1,4346,0,0,0,395.1921,4346 262 13126 14899 22948, football, wrestling
h17,sport-04-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,33,1,4346,0,0,0,692.0812,4346 13126 14899 262 2491, football, wrestling
h17,sport-04-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,19,1,4346,0,0,0,235.5115,4346 12217 262 22948 284, football, wrestling
h17,sport-04-output,,tuning,7-8-9,2.0,all,randdir_by_token,0,22,1,4346,0,0,0,177.8166,4346 22948 21576 13126 262, football, wrestling
h17,sport-04-output,,tuning,7-8-9,2.0,all,randdir_by_token,1,22,1,4346,0,0,0,926.0452,4346 22948 262 14899 2491, football, wrestling
h17,sport-04-output,,tuning,7-8-9,2.0,all,randdir_mirrored,0,62,1,4346,0,0,0,443.4659,4346 262 12478 18836 20790, football, cycling
h17,sport-04-output,,tuning,7-8-9,2.0,all,randdir_mirrored,1,574,40,262,0,0,0,1166.1843,262 257 5059 287 25, football, surfing
h17,sport-05-lens,,heldout,7-8-9,2.0,all,lens,-1,1,14022,18836,1,1,1,236.9238,18836 1444 34761 262 257, basketball, cricket
h17,sport-05-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,0,44,7,262,0,0,0,1072.233,262 257 3115 616 4152, basketball, cricket
h17,sport-05-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,1,260,23,262,0,0,0,715.5895,262 257 23186 616 36254, basketball, cricket
h17,sport-05-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,583,2,262,0,0,0,1257.8512,262 9669 257 36254 4673, basketball, cricket
h17,sport-05-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,270,22,262,0,0,0,1100.8088,262 257 530 4346 616, basketball, cricket
h17,sport-05-lens,,heldout,7-8-9,2.0,all,randdir_by_token,0,1038,21,262,0,0,0,1153.7965,262 257 4346 2491 1444, basketball, cricket
h17,sport-05-lens,,heldout,7-8-9,2.0,all,randdir_by_token,1,254,45,262,0,0,0,936.6313,262 257 407 1444 25, basketball, cricket
h17,sport-05-lens,,heldout,7-8-9,2.0,all,randdir_mirrored,0,32,8,262,0,0,0,450.9235,262 22948 12217 4346 257, golf, cycling
h17,sport-05-lens,,heldout,7-8-9,2.0,all,randdir_mirrored,1,99,716,262,0,0,1,609.7062,262 257 11783 4346 2491, surfing, tennis
h17,sport-05-output,,heldout,7-8-9,2.0,all,lens,-1,1,41256,18836,1,1,1,1074.7124,18836 34761 19553 287 1067, football, cricket
h17,sport-05-output,,heldout,7-8-9,2.0,all,randdir_shared_source,0,9,7,262,0,0,0,405.2517,262 22948 12217 9669 257, football, cricket
h17,sport-05-output,,heldout,7-8-9,2.0,all,randdir_shared_source,1,65,4,262,0,0,0,159.586,262 257 9669 4346 616, football, cricket
h17,sport-05-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,53,3,262,0,0,0,522.0151,262 9669 4346 50196 20790, football, cricket
h17,sport-05-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,444,3,262,0,0,0,887.1187,262 257 4346 1444 287, football, cricket
h17,sport-05-output,,heldout,7-8-9,2.0,all,randdir_by_token,0,18,2,262,0,0,0,683.4833,262 4346 50196 11783 9283, football, cricket
h17,sport-05-output,,heldout,7-8-9,2.0,all,randdir_by_token,1,1249,31,262,0,0,0,1097.3553,262 407 257 1444 366, football, cricket
h17,sport-05-output,,heldout,7-8-9,2.0,all,randdir_mirrored,0,11,3,262,0,0,0,740.7943,262 22948 4346 257 27101, football, golf
h17,sport-05-output,,heldout,7-8-9,2.0,all,randdir_mirrored,1,1380,99,262,0,0,0,1168.233,262 257 287 11 25, football, surfing
h17,sport-06-lens,,tuning,7-8-9,2.0,all,lens,-1,1,29538,18836,1,1,1,336.3858,18836 34761 1444 262 257, basketball, cricket
h17,sport-06-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,805,63,262,0,0,0,923.959,262 523 1479 257 655, basketball, cricket
h17,sport-06-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,759,165,257,0,0,0,970.8516,257 262 523 517 284, basketball, cricket
h17,sport-06-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,2503,21,3221,0,0,0,1258.8872,3221 262 407 845 257, basketball, cricket
h17,sport-06-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,364,82,262,0,0,0,1100.6877,262 530 257 616 284, basketball, cricket
h17,sport-06-lens,,tuning,7-8-9,2.0,all,randdir_by_token,0,886,58,262,0,0,0,1154.4023,262 257 407 4346 1479, basketball, cricket
h17,sport-06-lens,,tuning,7-8-9,2.0,all,randdir_by_token,1,863,237,262,0,0,0,938.5732,262 407 644 257 845, basketball, cricket
h17,sport-06-lens,,tuning,7-8-9,2.0,all,randdir_mirrored,0,93,18,262,0,0,0,453.5307,262 284 257 407 616, golf, cycling
h17,sport-06-lens,,tuning,7-8-9,2.0,all,randdir_mirrored,1,1520,35,257,0,0,0,501.7853,257 262 616 407 845, soccer, surfing
h17,sport-06-output,,tuning,7-8-9,2.0,all,lens,-1,1,40589,18836,1,1,1,1055.3508,18836 34761 19553 287 262, football, cricket
h17,sport-06-output,,tuning,7-8-9,2.0,all,randdir_shared_source,0,120,14,262,0,0,0,740.8155,262 616 257 530 284, football, cricket
h17,sport-06-output,,tuning,7-8-9,2.0,all,randdir_shared_source,1,58,2,262,0,0,0,446.6966,262 4346 284 257 616, football, cricket
h17,sport-06-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,111,5,262,0,0,0,524.7212,262 407 9669 284 4346, football, cricket
h17,sport-06-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,1358,21,257,0,0,0,891.246,257 262 530 284 2495, football, cricket
h17,sport-06-output,,tuning,7-8-9,2.0,all,randdir_by_token,0,64,3,262,0,0,0,684.7716,262 1257 4346 1464 407, football, cricket
h17,sport-06-output,,tuning,7-8-9,2.0,all,randdir_by_token,1,2873,152,262,0,0,0,1099.8934,262 407 257 1444 284, football, cricket
h17,sport-06-output,,tuning,7-8-9,2.0,all,randdir_mirrored,0,66,8,477,0,0,0,744.8031,477 262 616 257 3221, football, golf
h17,sport-06-output,,tuning,7-8-9,2.0,all,randdir_mirrored,1,594,135,262,0,0,0,848.9062,262 257 616 407 1690, football, soccer
h17,sport-07-lens,,heldout,7-8-9,2.0,all,lens,-1,44219,1,18836,0,0,0,2662.7463,18836 262 34761 33564 284, cricket, skiing
h17,sport-07-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,0,30,15,4346,0,0,0,837.7501,4346 14899 22948 262 9669, cricket, skiing
h17,sport-07-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,1,18,41,4346,0,0,1,406.5388,4346 14899 50196 9669 262, cricket, skiing
h17,sport-07-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,55,5,4346,0,0,0,432.2491,4346 262 284 13126 18836, cricket, skiing
h17,sport-07-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,69,146,9669,0,0,1,721.2347,9669 262 2008 4346 2491, cricket, skiing
h17,sport-07-lens,,heldout,7-8-9,2.0,all,randdir_by_token,0,20,7,4346,0,0,0,465.2881,4346 262 11783 284 20790, cricket, skiing
h17,sport-07-lens,,heldout,7-8-9,2.0,all,randdir_by_token,1,41,65,262,0,0,1,653.025,262 9669 50196 284 4346, cricket, skiing
h17,sport-07-lens,,heldout,7-8-9,2.0,all,randdir_mirrored,0,5,16,4346,1,0,1,453.0436,4346 22948 12217 284 13126, cycling, golf
h17,sport-07-lens,,heldout,7-8-9,2.0,all,randdir_mirrored,1,755,100,4346,0,0,0,612.1241,4346 262 11783 2491 9669, tennis, surfing
h17,sport-07-output,,heldout,7-8-9,2.0,all,lens,-1,1,33384,18836,1,1,1,936.3152,18836 34761 19553 287 33564, football, cricket
h17,sport-07-output,,heldout,7-8-9,2.0,all,randdir_shared_source,0,14,1,4346,0,0,0,621.7077,4346 14899 9283 2491 20790, football, cricket
h17,sport-07-output,,heldout,7-8-9,2.0,all,randdir_shared_source,1,17,1,4346,0,0,0,281.1506,4346 14899 12217 262 9669, football, cricket
h17,sport-07-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,21,1,4346,0,0,0,524.7244,4346 9669 14899 50196 20790, football, cricket
h17,sport-07-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,223,4,262,0,0,0,889.5965,262 284 257 4346 12217, football, cricket
h17,sport-07-output,,heldout,7-8-9,2.0,all,randdir_by_token,0,26,1,4346,0,0,0,689.6166,4346 262 14899 2491 50196, football, cricket
h17,sport-07-output,,heldout,7-8-9,2.0,all,randdir_by_token,1,366,16,262,0,0,0,1101.0197,262 284 14899 366 407, football, cricket
h17,sport-07-output,,heldout,7-8-9,2.0,all,randdir_mirrored,0,101,1,4346,0,0,0,456.5721,4346 262 19780 284 14899, football, cycling
h17,sport-07-output,,heldout,7-8-9,2.0,all,randdir_mirrored,1,1063,91,262,0,0,0,1174.712,262 257 5059 287 326, football, surfing
h17,sport-08-lens,,tuning,7-8-9,2.0,all,lens,-1,1,49261,18836,1,1,1,3218.6741,18836 262 34761 284 19553, rugby, cricket
h17,sport-08-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,98,32,262,0,0,0,667.0842,262 257 284 2491 4346, rugby, cricket
h17,sport-08-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,34,11,262,0,0,0,975.837,262 284 2712 9669 4346, rugby, cricket
h17,sport-08-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,19,12,262,0,0,0,864.3085,262 4346 284 14899 16259, rugby, cricket
h17,sport-08-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,224,8,262,0,0,0,625.8029,262 4346 9669 12217 257, rugby, cricket
h17,sport-08-lens,,tuning,7-8-9,2.0,all,randdir_by_token,0,15,3,4346,0,0,0,785.2117,4346 262 22948 12217 12478, rugby, cricket
h17,sport-08-lens,,tuning,7-8-9,2.0,all,randdir_by_token,1,23,2,4346,0,0,0,572.6361,4346 22948 2491 36254 20790, rugby, cricket
h17,sport-08-lens,,tuning,7-8-9,2.0,all,randdir_mirrored,0,8,10,4346,0,0,1,261.5113,4346 41348 12217 14899 262, cycling, tennis
h17,sport-08-lens,,tuning,7-8-9,2.0,all,randdir_mirrored,1,654,132,4346,0,0,0,610.9058,4346 2491 262 11783 12217, tennis, surfing
h17,sport-08-output,,tuning,7-8-9,2.0,all,lens,-1,1,31400,18836,1,1,1,976.8692,18836 34761 287 262 11, football, cricket
h17,sport-08-output,,tuning,7-8-9,2.0,all,randdir_shared_source,0,89,1,4346,0,0,0,793.0879,4346 262 2491 284 257, football, cricket
h17,sport-08-output,,tuning,7-8-9,2.0,all,randdir_shared_source,1,16,1,4346,0,0,0,145.7368,4346 14899 284 262 11783, football, cricket
h17,sport-08-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,17,1,4346,0,0,0,521.2776,4346 9669 14899 50196 20790, football, cricket
h17,sport-08-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,93,2,262,0,0,0,887.7292,262 4346 284 12217 257, football, cricket
h17,sport-08-output,,tuning,7-8-9,2.0,all,randdir_by_token,0,19,1,4346,0,0,0,685.5046,4346 262 9283 14899 2491, football, cricket
h17,sport-08-output,,tuning,7-8-9,2.0,all,randdir_by_token,1,151,7,262,0,0,0,1094.5518,262 14899 284 4964 11, football, cricket
h17,sport-08-output,,tuning,7-8-9,2.0,all,randdir_mirrored,0,57,1,4346,0,0,0,448.5503,4346 262 12478 14899 20790, football, cycling
h17,sport-08-output,,tuning,7-8-9,2.0,all,randdir_mirrored,1,140,1,4346,0,0,0,816.7924,4346 262 284 257 22948, football, tennis
h17,sport-09-lens,,heldout,7-8-9,2.0,all,lens,-1,50136,1,18836,0,0,0,3222.1433,18836 262 407 991 257, cricket, rugby
h17,sport-09-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,0,21,69,284,0,0,1,328.7688,284 262 407 4346 257, cricket, rugby
h17,sport-09-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,1,738,1266,262,0,0,1,1159.134,262 257 407 783 625, cricket, rugby
h17,sport-09-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,41,7,262,0,0,0,392.1251,262 4346 407 284 783, cricket, rugby
h17,sport-09-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,25,16,4346,0,0,0,515.2046,4346 284 11783 9669 262, cricket, rugby
h17,sport-09-lens,,heldout,7-8-9,2.0,all,randdir_by_token,0,6,37,4346,0,0,1,784.4449,4346 262 257 284 12217, cricket, rugby
h17,sport-09-lens,,heldout,7-8-9,2.0,all,randdir_by_token,1,33,47,4346,0,0,1,570.6172,4346 262 407 257 284, cricket, rugby
h17,sport-09-lens,,heldout,7-8-9,2.0,all,randdir_mirrored,0,9,25,4346,0,0,1,447.8296,4346 12217 284 262 257, cycling, golf
h17,sport-09-lens,,heldout,7-8-9,2.0,all,randdir_mirrored,1,300,1001,262,0,0,1,614.4833,262 257 4346 407 11783, surfing, tennis
h17,sport-09-output,,heldout,7-8-9,2.0,all,lens,-1,1,37932,18836,1,1,1,1093.3442,18836 34761 19553 23761 287, football, cricket
h17,sport-09-output,,heldout,7-8-9,2.0,all,randdir_shared_source,0,27,14,262,0,0,0,723.4837,262 257 284 9283 9669, football, cricket
h17,sport-09-output,,heldout,7-8-9,2.0,all,randdir_shared_source,1,23,1,4346,0,0,0,460.984,4346 262 284 407 257, football, cricket
h17,sport-09-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,42,1,4346,0,0,0,517.3428,4346 9669 284 262 407, football, cricket
h17,sport-09-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,220,3,257,0,0,0,886.0685,257 262 4346 284 530, football, cricket
h17,sport-09-output,,heldout,7-8-9,2.0,all,randdir_by_token,0,38,1,4346,0,0,0,683.2958,4346 262 407 257 284, football, cricket
h17,sport-09-output,,heldout,7-8-9,2.0,all,randdir_by_token,1,1201,54,407,0,0,0,1098.1178,407 262 284 257 534, football, cricket
h17,sport-09-output,,heldout,7-8-9,2.0,all,randdir_mirrored,0,186,2,530,0,0,0,450.9527,530 4346 262 407 257, football, cycling
h17,sport-09-output,,heldout,7-8-9,2.0,all,randdir_mirrored,1,1634,246,257,0,0,0,1172.2941,257 287 262 329 530, football, surfing
h17,sport-10-lens,,tuning,7-8-9,2.0,all,lens,-1,1,7998,18836,1,1,1,267.2707,18836 34761 262 326 6208, basketball, cricket
h17,sport-10-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,28,15,14899,0,0,0,1049.6619,14899 262 2159 4346 11783, basketball, cricket
h17,sport-10-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,29,5,4346,0,0,0,470.6327,4346 262 9283 11783 9669, basketball, cricket
