battery,item_id,func,split,layers,alpha,posmode,arm,seed,good_rank,bad_rank,argmax_tok,in_top5,is_top1,beats_bad,patch_norm,top5_ids
h17,sport-11-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,67,1,9669,0,0,0,771.6505,9669 262 4346 50196 4395
h17,sport-11-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,13,3,262,0,0,0,302.6914,262 4346 9669 22948 50196
h17,sport-11-output,,heldout,7-8-9,2.0,all,lens,-1,1,48383,16381,1,1,1,1296.9691,16381 10419 46825 34845 41758
h17,sport-11-output,,heldout,7-8-9,2.0,all,randdir_shared_source,0,18,2,262,0,0,0,758.1453,262 4346 257 50196 616
h17,sport-11-output,,heldout,7-8-9,2.0,all,randdir_shared_source,1,11,1,4346,0,0,0,569.9754,4346 11783 262 9669 2491
h17,sport-11-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,14,3,262,0,0,0,698.5201,262 9669 4346 50196 11783
h17,sport-11-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,9,2,9669,0,0,0,241.1764,9669 4346 262 11783 12217
h17,fruit-00-lens,,tuning,7-8-9,2.0,all,lens,-1,1,35684,49364,1,1,1,611.8795,49364 262 257 523 428
h17,fruit-00-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,55,145,262,0,0,1,867.3092,262 257 407 523 616
h17,fruit-00-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,11,5,262,0,0,0,783.8841,262 257 616 45540 41236
h17,fruit-00-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,115,33,262,0,0,0,996.4954,262 257 407 2192 616
h17,fruit-00-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,60,5,262,0,0,0,431.1543,262 257 45540 6029 41236
h17,fruit-00-output,,tuning,7-8-9,2.0,all,lens,-1,1,35684,49364,1,1,1,611.8795,49364 262 257 523 428
h17,fruit-00-output,,tuning,7-8-9,2.0,all,randdir_shared_source,0,30,19,262,0,0,0,320.342,262 257 407 616 6029
h17,fruit-00-output,,tuning,7-8-9,2.0,all,randdir_shared_source,1,16,12,262,0,0,0,559.9508,262 257 45540 1444 407
h17,fruit-00-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,115,33,262,0,0,0,996.4954,262 257 407 2192 616
h17,fruit-00-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,60,5,262,0,0,0,431.1543,262 257 45540 6029 41236
h17,fruit-01-lens,,heldout,7-8-9,2.0,all,lens,-1,1,42819,47565,1,1,1,546.0976,47565 262 257 33230 613
h17,fruit-01-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,0,71,34,262,0,0,0,606.7297,262 257 616 6029 45540
h17,fruit-01-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,1,398,66,262,0,0,0,768.92,262 257 284 326 616
h17,fruit-01-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,189,12,262,0,0,0,808.1981,262 257 25 4713 6029
h17,fruit-01-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,51,11,262,0,0,0,718.6489,262 257 407 6029 45540
h17,fruit-01-output,,heldout,7-8-9,2.0,all,lens,-1,11,13,262,0,0,1,681.4056,262 257 6029 29036 41236
h17,fruit-01-output,,heldout,7-8-9,2.0,all,randdir_shared_source,0,100,223,262,0,0,1,963.4553,262 257 1682 1444 655
h17,fruit-01-output,,heldout,7-8-9,2.0,all,randdir_shared_source,1,40,6,262,0,0,0,671.7303,262 257 8234 6029 35484
h17,fruit-01-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,50,4,262,0,0,0,82.4515,262 257 6029 45540 407
h17,fruit-01-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,33,9,262,0,0,0,265.5941,262 257 6029 29036 49364
h17,fruit-02-lens,,tuning,7-8-9,2.0,all,lens,-1,2,47270,314,1,0,1,1152.2997,314 45540 23076 383 317
h17,fruit-02-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,6702,8113,314,0,0,1,782.8646,314 317 22826 632 383
h17,fruit-02-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,11587,7021,314,0,0,0,699.3435,314 383 317 366 775
h17,fruit-02-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,5594,1259,314,0,0,0,800.3381,314 383 317 632 1002
h17,fruit-02-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,4717,2029,314,0,0,0,911.0657,314 22826 383 42611 317
h17,fruit-02-output,,tuning,7-8-9,2.0,all,lens,-1,14967,2330,314,0,0,0,2028.6871,314 383 317 3363 4196
h17,fruit-02-output,,tuning,7-8-9,2.0,all,randdir_shared_source,0,2722,1643,314,0,0,0,1306.1627,314 383 317 632 1119
h17,fruit-02-output,,tuning,7-8-9,2.0,all,randdir_shared_source,1,4013,1678,314,0,0,0,581.2925,314 383 317 2011 1002
h17,fruit-02-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,2420,446,314,0,0,0,669.4641,314 22826 317 383 632
h17,fruit-02-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,3973,704,314,0,0,0,548.0156,314 22826 383 317 632
h17,fruit-03-lens,,heldout,7-8-9,2.0,all,lens,-1,1,48585,49364,1,1,1,637.0117,49364 262 257 465 523
h17,fruit-03-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,0,46,5,262,0,0,0,674.0164,262 257 47565 613 41236
h17,fruit-03-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,1,25,4,262,0,0,0,659.4644,262 257 6029 41236 45540
h17,fruit-03-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,88,16,262,0,0,0,996.3257,262 257 607 635 705
h17,fruit-03-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,30,4,262,0,0,0,431.2087,262 257 45540 41236 705
h17,fruit-03-output,,heldout,7-8-9,2.0,all,lens,-1,1,48585,49364,1,1,1,637.0117,49364 262 257 465 523
h17,fruit-03-output,,heldout,7-8-9,2.0,all,randdir_shared_source,0,95,27,262,0,0,0,870.2684,262 257 607 783 635
h17,fruit-03-output,,heldout,7-8-9,2.0,all,randdir_shared_source,1,17,18,262,0,0,1,537.2924,262 257 6029 1444 635
h17,fruit-03-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,88,16,262,0,0,0,996.3257,262 257 607 635 705
h17,fruit-03-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,30,4,262,0,0,0,431.2087,262 257 45540 41236 705
h17,fruit-04-lens,,tuning,7-8-9,2.0,all,lens,-1,1,36204,49364,1,1,1,623.6133,49364 262 257 465 635
h17,fruit-04-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,97,409,257,0,0,1,1350.4919,257 262 607 783 300
h17,fruit-04-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,34,7,262,0,0,0,344.004,262 257 465 705 635
h17,fruit-04-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,77,29,262,0,0,0,996.4431,262 257 705 465 635
h17,fruit-04-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,23,5,262,0,0,0,432.3396,262 257 45540 465 41236
h17,fruit-04-output,,tuning,7-8-9,2.0,all,lens,-1,3,39,262,1,0,1,622.3847,262 257 49364 6029 465
h17,fruit-04-output,,tuning,7-8-9,2.0,all,randdir_shared_source,0,68,93,262,0,0,1,772.4294,262 257 465 12498 12379
h17,fruit-04-output,,tuning,7-8-9,2.0,all,randdir_shared_source,1,150,230,262,0,0,1,1498.9728,262 257 279 465 350
h17,fruit-04-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,61,3,262,0,0,0,668.9613,262 257 45540 1444 465
h17,fruit-04-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,114,10,262,0,0,0,605.0837,262 257 465 8234 407
h17,fruit-05-lens,,heldout,7-8-9,2.0,all,lens,-1,1,27018,49364,1,1,1,618.3572,49364 262 257 523 407
h17,fruit-05-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,0,427,285,257,0,0,0,1045.0425,257 262 407 616 523
h17,fruit-05-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,1,175,33,257,0,0,0,620.1147,257 262 523 407 616
h17,fruit-05-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,117,102,257,0,0,0,997.2217,257 262 407 616 1223
h17,fruit-05-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,85,39,262,0,0,0,434.0919,262 257 6029 407 616
h17,fruit-05-output,,heldout,7-8-9,2.0,all,lens,-1,27018,1,49364,0,0,0,618.3572,49364 262 257 523 407
h17,fruit-05-output,,heldout,7-8-9,2.0,all,randdir_shared_source,0,62,26,262,0,0,0,694.269,262 257 6029 616 845
h17,fruit-05-output,,heldout,7-8-9,2.0,all,randdir_shared_source,1,60,95,257,0,0,1,670.9783,257 262 523 1444 616
h17,fruit-05-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,426,67,262,0,0,0,962.8403,262 257 407 530 6029
h17,fruit-05-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,148,64,262,0,0,0,951.0121,262 257 523 2192 465
h17,fruit-06-lens,,tuning,7-8-9,2.0,all,lens,-1,18504,1,49364,0,0,0,630.1812,49364 3091 1402 1588 1263
h17,fruit-06-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,3346,2741,1256,0,0,0,275.5438,1256 649 1178 1402 1588
h17,fruit-06-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,1646,2261,1310,0,0,1,377.274,1310 1402 3236 1588 3091
h17,fruit-06-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,11051,2712,1402,0,0,0,969.3345,1402 1178 1643 1310 1808
h17,fruit-06-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,3853,956,1402,0,0,0,947.1083,1402 649 1256 1178 845
h17,fruit-06-output,,tuning,7-8-9,2.0,all,lens,-1,1,50143,49364,1,1,1,1913.8848,49364 1862 4713 29981 3275
h17,fruit-06-output,,tuning,7-8-9,2.0,all,randdir_shared_source,0,1601,216,1402,0,0,0,624.1722,1402 1588 1310 3236 1263
h17,fruit-06-output,,tuning,7-8-9,2.0,all,randdir_shared_source,1,3260,580,1256,0,0,0,962.7305,1256 1310 366 1402 1588
h17,fruit-06-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,1212,342,3091,0,0,0,260.9763,3091 1402 649 1588 1263
h17,fruit-06-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,2372,192,1402,0,0,0,595.6321,1402 1588 1310 3091 649
h17,fruit-07-lens,,heldout,7-8-9,2.0,all,lens,-1,1,44501,49364,1,1,1,667.8662,49364 717 749 691 530
h17,fruit-07-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,0,71,39,8234,0,0,0,520.2802,8234 530 6029 749 691
h17,fruit-07-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,1,1203,90,530,0,0,0,887.8662,530 749 8234 717 1266
h17,fruit-07-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,262,57,8234,0,0,0,997.275,8234 530 717 749 366
h17,fruit-07-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,71,13,6029,0,0,0,435.0417,6029 8234 25996 530 749
h17,fruit-07-output,,heldout,7-8-9,2.0,all,lens,-1,1583,1,23612,0,0,0,1154.9901,23612 6029 749 530 691
h17,fruit-07-output,,heldout,7-8-9,2.0,all,randdir_shared_source,0,42,9,8234,0,0,0,746.9694,8234 530 6029 25996 749
h17,fruit-07-output,,heldout,7-8-9,2.0,all,randdir_shared_source,1,16,8,749,0,0,0,541.8994,749 530 8234 6029 691
h17,fruit-07-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,32,20,6029,0,0,0,1003.2618,6029 530 8234 25996 2266
h17,fruit-07-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,44,15,530,0,0,0,595.1089,530 749 8234 1266 2818
h17,fruit-08-lens,,tuning,7-8-9,2.0,all,lens,-1,1,48940,49364,1,1,1,637.4833,49364 845 1310 1402 1643
